# 单词闪卡示例文件
# 格式：英文单词,中文释义
# 或：英文单词[Tab]中文释义
# 以 # 开头的行为注释，会被忽略

abandon,放弃；抛弃
abundant,丰富的；大量的
accelerate,加速；促进
acknowledge,承认；致谢
acquire,获得；学到
adapt,适应；改编
adequate,足够的；适当的
advocate,倡导；支持者
ambiguous,模棱两可的；含糊的
anticipate,预期；期待
apparent,明显的；表面上的
approach,方法；接近
approximate,大约的；近似
assert,断言；坚持
assess,评估；评价
assume,假设；承担
attain,达到；获得
attribute,归因于；属性
beneficial,有益的；有利的
capacity,能力；容量
circumstance,情况；环境
collaborate,合作；协作
commence,开始；着手
competent,有能力的；胜任的
complement,补充；互补
comprehensive,全面的；综合的
concept,概念；观念
consequence,结果；后果
consistent,一致的；始终如一的
constitute,构成；组成
contemplate,考虑；沉思
contradict,矛盾；反驳
contrast,对比；对照
controversy,争论；争议
convey,传达；传递
crucial,关键的；至关重要的
deduce,推断；演绎
demonstrate,证明；展示
derive,来源于；推导出
distinct,不同的；明显的
dominant,主导的；占优势的
elaborate,详细阐述；精心制作的
eliminate,消除；淘汰
emerge,出现；浮现
emphasize,强调；重视
enormous,巨大的；庞大的
equivalent,相等的；等价物
establish,建立；确立
evaluate,评估；评价
evident,明显的；显而易见的
evolve,进化；逐渐发展
explicit,明确的；清晰的
facilitate,促进；使便利
fundamental,基本的；根本的
generate,产生；生成
genuine,真正的；真实的
hypothesis,假设；假说
identical,完全相同的
identify,识别；确认
illustrate,说明；举例
imply,暗示；意味着
incorporate,包含；合并
indicate,表明；指出
inevitable,不可避免的
infer,推断；推论
inhibit,抑制；阻止
initial,最初的；首字母
innovate,创新；革新
integrate,整合；使融合
interpret,解释；诠释
justify,证明合理；为…辩护
maintain,维持；保持
manifest,显示；明显的
methodology,方法论
modify,修改；调整
monitor,监测；监视
motivate,激励；促使
negligible,微不足道的；可忽略的
neutral,中立的；中性的
objective,目标；客观的
obtain,获得；得到
obvious,明显的；显然的
occur,发生；出现
oppose,反对；对抗
optimize,优化；使最佳化
outcome,结果；成果
perceive,感知；认为
perspective,观点；角度
phenomenon,现象；现象（复数：phenomena）
precise,精确的；准确的
predominant,占主导地位的
preliminary,初步的；预备的
previous,之前的；先前的
primary,主要的；首要的
prohibit,禁止；阻止
prominent,突出的；重要的
propose,提议；建议
pursue,追求；从事
relevant,相关的；切题的
require,需要；要求
resolve,解决；决定
retain,保留；保持
significant,重要的；显著的
simulate,模拟；仿真
specific,具体的；特定的
sufficient,足够的；充分的
summarize,总结；概括
supplement,补充；补充物
sustain,维持；支撑
synthesize,综合；合成
theory,理论；学说
transform,转变；改造
ultimate,最终的；根本的
uniform,统一的；制服
unique,独特的；唯一的
utilize,利用；使用
valid,有效的；合理的
vary,变化；不同
verify,验证；核实
whereas,然而；尽管
