English,Part of Speech,Chinese
elderly,adj,上了年纪的
offer,v,主动提出
serious,adj,严重的
disease,n,病；疾病
cancer,n,癌；癌症
spirits,n,[pl.]情绪；心境
pain,n,痛苦；苦恼
belong,v,适应；合得来
spare,adj,空闲的；空余的
volunteer,v,自愿做
joy,n,高兴；愉快；喜悦
lose,v,丧失；失去
raise,v,募募
pound,n,英镑
structure,n,结构
permission,n,准许；许可
arrange,v,排列；布置
donate,v,捐赠；赠送
mighty,adj,巨大的；非凡的
pleasant,adj,令人愉快的；宜人的
ease,v,减轻；缓解
ache,v,疼痛；隐痛
in low spirits,phrase,情绪低落
in order to,phrase,目的是；为了
in need,phrase,在危难中；在劳困中的
flower arranging,phrase,插花
tidy up,phrase,收拾；整理
in vain,phrase,徒劳心机；徒劳无益
voluntary work,phrase,志愿工作
disabled people,phrase,残障人士
look after,phrase,照料；照顾
suffer from,phrase,遭受；患......病
cheer somebody up,phrase,（使）高兴起来
raise one's spirits,phrase,使某人振奋
